run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,year
Prod223_4023,11750373,2022-01-31,html,,2022-01-31,11750373,MORAN & PARTNERS LTD,False,0.0,2022-01-31,2022-01-31,,,,12090.0,,,,,,,,-36972.0,,,,,,,,,,,,,,,,2022
Prod223_4022,9976188,2022-01-31,html,,2022-01-31,9976188,KALAN LIMITED,True,,2022-01-31,2022-01-31,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2022
Prod223_4023,11749902,2022-02-28,html,,2022-02-28,11749902,AAG Electrical Building Services Ltd,True,0.0,2022-02-28,2022-02-28,826.0,-157.0,20457.0,20300.0,5790.0,,14510.0,15336.0,336.0,,336.0,336.0,,,,,,,,,,,,,,,,2022
Prod223_4023,10696922,2022-03-29,html,,2022-03-29,10696922,WRIGHT SPORTS MEDIA LIMITED,False,1.0,2021-03-31,2021-03-31,,,,1245877.0,,,1200579.0,1200579.0,1107293.0,,,1107293.0,,,,,,,,,,,,,,,,2022
Prod223_4022,11913501,2022-03-31,html,,2022-03-31,11913501,BANDAMO SOLUTIONS LTD,True,0.0,2021-03-31,2021-03-31,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2022
Prod223_4023,11913347,2022-03-31,html,,2022-03-31,11913347,ALANXOJA SOLUTIONS LTD,True,3.0,2022-03-31,2022-03-31,,,,3585.0,4891.0,,-1306.0,-1306.0,-1306.0,,,-1306.0,,,,,,,,,,,,,,,,2022
Prod223_4023,7619814,2022-05-31,html,http://www.xbrl.org/uk/gaap/core/2009-09-01,2022-05-31,7619814,LOFTHOUSE TRANSPORT LTD,True,0.0,2022-05-31,2022-05-31,,,1.0,,,,,,104.0,,,104.0,,,,,,,,,,,,,,,,2022
Prod223_4024,09618066,2022-06-30,html,,2022-06-30,09618066,Cybacor Ltd,False,1,2022-06-30,2022-06-30,7714,,,133136,,,22564,30278,-1130,,,-1130,,,,,,,,,,,,,,,,2022
Prod223_4023,10821144,2022-06-30,html,,2022-06-30,10821144,SFrancis Estates Limited,False,1.0,2021-06-30,2021-06-30,,,,13219.0,4485.0,,8734.0,8734.0,4.0,,,4.0,,,,,,,,,,,,,,,,2022
Prod223_4022,10797396,2022-06-30,html,,2022-06-30,10797396,Hampshire Events And Catering Limited,False,2.0,2022-06-30,2022-06-30,3480.0,,,6440.0,11748.0,,-5010.0,-1530.0,-14444.0,,,-14444.0,,,,,,,,,,,,,,,,2022
